Rank,Players_name,Players_age,Team,Games_played,Games_started,Minutes_played_per_game,Field_goals_per_game,Field_goal_attempts_per_game,Field_goal_percentage,3_point_field_goals_per_game,3_point_field_goal_attempts_per_game,3_point_field_goal_percentage,2_point_field_goals_per_game,2_point_field_goal_attempts_per_game,2_point_field_goal_percentage,Effective_field_goal_percentage,Free_throws_per_game,Free_throw_attempts_per_game,Free_throw_percentage,Offensive_rebounds_per_game,Defensive_rebounds_per_game,Total_rebounds_per_game,Assists_per_game,Steals_per_game,Blocks_per_game,Turnovers_per_game,Personal_fouls_per_game,Points_per_game,Class,Total_stats,Points_per_game_percentage,Total_rebounds_per_game_percentage,Assists_per_game_percentage,Steals_per_game_percentage,Blocks_per_game_percentage,Turnovers_per_game_percentage,3_point_field_goals_per_game_percentage
77,Moses Brown,22,DAL,26,1,6.5,1.0,1.9,0.54,0.0,0.0,0.0,1.0,1.9,0.54,0.54,1.0,1.7,0.628,0.6,1.7,2.3,0.0,0.1,0.3,0.5,1.1,3.1,0,6.3,0.4920634920634921,0.36507936507936506,0.0,0.015873015873015876,0.047619047619047616,0.07936507936507936,0.0
77,Moses Brown,22,CLE,14,5,12.6,2.6,4.1,0.638,0.0,0.0,0.0,2.6,4.1,0.638,0.638,1.1,2.1,0.552,1.6,3.6,5.3,0.0,0.3,0.5,0.4,1.8,6.4,0,12.9,0.49612403100775193,0.4108527131782945,0.0,0.023255813953488372,0.03875968992248062,0.031007751937984496,0.0
78,Sterling Brown,26,DAL,49,3,12.8,1.2,3.2,0.381,0.6,1.9,0.304,0.6,1.3,0.492,0.471,0.3,0.3,0.933,0.5,2.5,3.0,0.7,0.3,0.1,0.5,1.1,3.3,2,8.5,0.388235294117647,0.35294117647058826,0.08235294117647059,0.03529411764705882,0.011764705882352941,0.058823529411764705,0.07058823529411765
79,Troy Brown Jr.,22,CHI,66,7,16.0,1.6,3.9,0.419,0.7,2.0,0.353,0.9,1.9,0.488,0.51,0.3,0.4,0.769,0.6,2.5,3.1,1.0,0.5,0.1,0.4,0.9,4.3,1,10.1,0.42574257425742573,0.3069306930693069,0.09900990099009901,0.04950495049504951,0.009900990099009901,0.039603960396039604,0.0693069306930693
80,Jalen Brunson,25,DAL,79,61,31.9,6.4,12.8,0.502,1.2,3.2,0.373,5.2,9.6,0.545,0.549,2.3,2.7,0.84,0.5,3.4,3.9,4.8,0.8,0.0,1.6,1.9,16.3,2,28.6,0.5699300699300699,0.13636363636363635,0.1678321678321678,0.027972027972027972,0.0,0.055944055944055944,0.04195804195804195
81,Thomas Bryant,24,WAS,27,9,16.3,2.9,5.5,0.52,0.4,1.6,0.286,2.4,3.9,0.613,0.561,1.3,1.5,0.875,1.0,3.0,4.0,0.9,0.2,0.8,0.7,1.6,7.4,0,14.4,0.513888888888889,0.2777777777777778,0.0625,0.01388888888888889,0.05555555555555556,0.048611111111111105,0.02777777777777778
82,Shaq Buchanan,25,MEM,2,0,5.0,0.5,2.0,0.25,0.0,1.0,0.0,0.5,1.0,0.5,0.25,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.5,1.0,2,4.5,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.0
83,Reggie Bullock,30,DAL,68,37,28.0,3.0,7.4,0.401,2.1,5.8,0.36,0.9,1.6,0.55,0.542,0.6,0.7,0.833,0.5,3.1,3.5,1.2,0.6,0.2,0.6,1.6,8.6,1,16.799999999999997,0.511904761904762,0.20833333333333337,0.07142857142857144,0.03571428571428572,0.011904761904761908,0.03571428571428572,0.12500000000000003
84,Trey Burke,29,DAL,42,0,10.5,2.0,5.1,0.391,0.6,2.0,0.317,1.4,3.2,0.436,0.451,0.5,0.5,0.87,0.1,0.7,0.8,1.4,0.3,0.0,0.6,0.9,5.1,2,8.799999999999999,0.5795454545454546,0.09090909090909093,0.1590909090909091,0.034090909090909095,0.0,0.06818181818181819,0.06818181818181819
85,Alec Burks,30,NYK,81,44,28.6,3.5,9.0,0.391,1.9,4.8,0.404,1.6,4.2,0.378,0.499,2.7,3.3,0.822,0.6,4.3,4.9,3.0,1.0,0.3,1.1,2.7,11.7,2,23.900000000000002,0.48953974895397484,0.20502092050209206,0.12552301255230125,0.04184100418410042,0.012552301255230124,0.04602510460251046,0.07949790794979078
